10 days
77.3	75.4	72.1	70.1	67.8	63.8	67.3	71.4	73.8	75.8	77.2	79.3	80.7	82.9	84.8	86.6	88.1	90.4	88.2	84.9	83.6	80.5	78.2	77.3
74.6	73.2	70.9	67.3	64.8	62.7	64.4	67.2	68.9	71.5	74.0	77.0	79.7	82.2	85.3	88.8	90.2	92.5	90.4	87.7	85.8	84.4	82.7	80.7
78.7	77.5	76.8	75.4	73.3	71.8	74.1	77.3	79.6	82.2	84.1	86.1	88.0	90.2	91.2	93.6	96.5	99.9	98.2	96.5	93.8	91.6	91.2	89.4
86.5	84.9	83.8	82.8	81.1	78.9	81.3	82.6	84.2	86.8	90.0	91.3	91.9	94.6	96.1	98.7	100.8	102.0	99.6	96.2	93.6	92.4	91.7	88.7
85.6	84.1	81.2	79.0	75.7	73.4	75.1	78.0	79.1	81.5	83.4	83.7	87.6	91.3	93.0	93.8	96.7	97.6	94.8	91.7	89.8	86.7	83.5	82.4
80.6	78.7	77.6	75.1	72.8	71.4	72.5	73.6	77.1	78.8	79.6	82.8	85.4	88.2	89.0	91.4	93.5	93.4	89.9	87.6	85.1	81.8	79.7	76.9
74.9	73.3	70.0	68.6	65.9	64.6	67.9	69.4	68.7	70.1	72.7	76.1	77.1	79.2	81.5	84.7	85.8	86.8	84.3	83.1	81.0	77.5	76.0	73.0
69.4	66.9	64.3	61.4	59.2	57.2	58.9	62.4	63.8	64.9	66.6	67.2	70.2	72.2	74.4	76.0	77.9	78.8	76.8	76.2	75.7	73.8	71.4	69.2
67.2	67.2	64.8	61.5	57.6	54.1	57.2	59.1	60.6	61.5	62.9	63.9	66.4	70.0	71.5	72.6	76.0	78.1	74.9	74.1	73.2	70.0	68.2	66.7
64.2	61.9	57.9	57.1	53.3	50.6	49.9	52.0	53.6	54.9	55.6	59.4	60.9	64.9	65.6	68.3	69.9	70.3	68.4	65.8	63.6	60.2	59.5	57.8
